mk,position,track,streams,url,id,popularity,followers,genres,type
co,129,Faded,5290,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
my,36,Tired,11013,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
de,169,Alone,36371,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
se,197,Faded,18870,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
no,134,Sing Me to Sleep,14315,https://open.spotify.com/track/2Fjz5ZC5BvFdCqcnTZ3ilH,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
hk,78,Tired,3104,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
cz,99,Alone,1654,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
tw,159,Alone,2869,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
fi,146,Alone,8735,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
my,69,Alone,6171,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
my,70,Faded,6119,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
mx,112,Faded,52178,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
se,38,Tired,86509,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
sk,63,Tired,1100,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
at,154,Faded,2101,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
ph,111,Tired,25791,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
ch,112,Faded,3925,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
ee,30,Tired,1284,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
sg,41,Tired,14071,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
no,93,Alone,19355,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
id,99,Faded,7155,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
cl,159,Faded,11755,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
no,102,Faded,18173,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
be,179,Faded,3160,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
tw,51,Tired,6669,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
gt,159,Alone,1094,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
fi,78,Tired,15441,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
tr,170,Faded,5682,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
de,57,Tired,105798,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
hu,117,Alone,1206,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
ie,99,Tired,4841,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
pe,88,Faded,9825,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
at,36,Tired,9679,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
be,124,Tired,4199,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
pe,143,Alone,7025,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
hu,56,Tired,2178,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
id,93,Alone,7775,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
pl,176,Faded,4883,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
hk,139,Alone,2238,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
fi,176,Faded,7389,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
cz,52,Tired,2888,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
pl,56,Tired,10198,https://open.spotify.com/track/3b5Li4QKDVBx1x7fQuu54a,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
pl,171,Alone,4995,https://open.spotify.com/track/0JiVRyTJcJnmlwCZ854K4p,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
cr,92,Faded,3312,https://open.spotify.com/track/7gHs73wELdeycvS48JfIos,7vk5e3vY1uw9plTHJAMwjN,84,1043629,"edm,tropical house",artist
dk,68,Ulla,17766,https://open.spotify.com/track/4ZLkVrZ8sfgSDL0pqk5YkL,2Q6FSq5L8qxRKODBLpFE5Z,52,4744,"danish pop,deep danish pop",artist
id,173,Biar Aku Yang Pergi,5012,https://open.spotify.com/track/3BPogo8LQS0IbKCdqvmHJH,2wCZJV7yjLqZqjoaq089vh,40,390,,artist
es,45,Sé Que Te Duele,81030,https://open.spotify.com/track/5vZfgeDfNhlkKeJqjzSAmg,6sq1yF0OZEWA4xoXVKW1L9,80,765033,"grupera,latin,latin arena pop,latin christmas,latin pop,mariachi,ranchera",artist
gt,63,Sé Que Te Duele,2104,https://open.spotify.com/track/5vZfgeDfNhlkKeJqjzSAmg,6sq1yF0OZEWA4xoXVKW1L9,80,765033,"grupera,latin,latin arena pop,latin christmas,latin pop,mariachi,ranchera",artist
cr,82,Sé Que Te Duele,3561,https://open.spotify.com/track/5vZfgeDfNhlkKeJqjzSAmg,6sq1yF0OZEWA4xoXVKW1L9,80,765033,"grupera,latin,latin arena pop,latin christmas,latin pop,mariachi,ranchera",artist
co,80,Sé Que Te Duele,7660,https://open.spotify.com/track/5vZfgeDfNhlkKeJqjzSAmg,6sq1yF0OZEWA4xoXVKW1L9,80,765033,"grupera,latin,latin arena pop,latin christmas,latin pop,mariachi,ranchera",artist
