,artist,mk,position,track,streams,url,id,popularity,followers,genres,,,,,"insert into pais_musica(pais_id, musica_id, posicao, streams) values"
51,Adele,au,170,Water Under the Bridge,16551,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'au'), (select id from musica where nome like 'Water Under the Bridge'), 170, 16551),"
52,Adele,cr,200,Hello,1916,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'cr'), (select id from musica where nome like 'Hello'), 200, 1916),"
53,Adele,my,134,Make You Feel My Love,3647,https://open.spotify.com/track/7rPLZ8Krm6CZIbraFUlnWZ,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'my'), (select id from musica where nome like 'Make You Feel My Love'), 134, 3647),"
54,Adele,id,176,When We Were Young,4904,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'id'), (select id from musica where nome like 'When We Were Young'), 176, 4904),"
55,Adele,se,177,When We Were Young,20002,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'se'), (select id from musica where nome like 'When We Were Young'), 177, 20002),"
56,Adele,nz,139,Hello,4871,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'nz'), (select id from musica where nome like 'Hello'), 139, 4871),"
57,Adele,gb,177,Water Under the Bridge,42388,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'gb'), (select id from musica where nome like 'Water Under the Bridge'), 177, 42388),"
58,Adele,id,171,All I Ask,5058,https://open.spotify.com/track/1wMALZpuqAy7amQsFBWQ8m,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'id'), (select id from musica where nome like 'All I Ask'), 171, 5058),"
59,Adele,ie,190,Water Under the Bridge,3246,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'ie'), (select id from musica where nome like 'Water Under the Bridge'), 190, 3246),"
60,Adele,no,181,When We Were Young,11980,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'no'), (select id from musica where nome like 'When We Were Young'), 181, 11980),"
61,Adele,nz,142,Water Under the Bridge,4840,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'nz'), (select id from musica where nome like 'Water Under the Bridge'), 142, 4840),"
62,Adele,sg,143,Make You Feel My Love,4263,https://open.spotify.com/track/7rPLZ8Krm6CZIbraFUlnWZ,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'sg'), (select id from musica where nome like 'Make You Feel My Love'), 143, 4263),"
63,Adele,gb,190,When We Were Young,40400,https://open.spotify.com/track/7IWkJwX9C0J7tHurTD7ViL,4dpARuHxo51G3z768sgnrY,86,6572511,"dance pop,pop",,,,,"((select id from pais where sigla like 'gb'), (select id from musica where nome like 'When We Were Young'), 190, 40400),"
64,Adel Tawil,at,96,Ist da jemand,3068,https://open.spotify.com/track/1QzmdyU1N47jAj0ao5IvlW,3rZBkgoRHG8M9jQL0QPNMi,69,62950,"deep german pop rock,german pop",,,,,"((select id from pais where sigla like 'at'), (select id from musica where nome like 'Ist da jemand'), 96, 3068),"
65,Adel Tawil,ch,139,Ist da jemand,3438,https://open.spotify.com/track/1QzmdyU1N47jAj0ao5IvlW,3rZBkgoRHG8M9jQL0QPNMi,69,62950,"deep german pop rock,german pop",,,,,"((select id from pais where sigla like 'ch'), (select id from musica where nome like 'Ist da jemand'), 139, 3438),"
66,Adel Tawil,de,157,Bis hier und noch weiter,37870,https://open.spotify.com/track/5y2qTBdWUFNgSPOygSWOMe,3rZBkgoRHG8M9jQL0QPNMi,69,62950,"deep german pop rock,german pop",,,,,"((select id from pais where sigla like 'de'), (select id from musica where nome like 'Bis hier und noch weiter'), 157, 37870),"
67,Adel Tawil,de,93,Ist da jemand,56523,https://open.spotify.com/track/1QzmdyU1N47jAj0ao5IvlW,3rZBkgoRHG8M9jQL0QPNMi,69,62950,"deep german pop rock,german pop",,,,,"((select id from pais where sigla like 'de'), (select id from musica where nome like 'Ist da jemand'), 93, 56523),"
68,Adera,id,105,Muara,6842,https://open.spotify.com/track/4lCtZZktwgQqzCoJxK3ZxR,5puPe9ODwSfnmqy5cx90TC,50,2561,"indonesian pop,world worship",,,,,"((select id from pais where sigla like 'id'), (select id from musica where nome like 'Muara'), 105, 6842),"
69,Adje,nl,166,TRRR - Bonus Track,21834,https://open.spotify.com/track/5xcekrEAJ5CVZPpjb3N36l,5erZiBCKPxe9FaTiXHO00m,63,17124,"deep dutch hip hop,dutch hip hop",,,,,"((select id from pais where sigla like 'nl'), (select id from musica where nome like 'TRRR - Bonus Track'), 166, 21834),"
70,Afrojack,nl,91,Another Life,41567,https://open.spotify.com/track/6tinFGP1QJuRbyeCekZcLZ,4D75GcNG95ebPtNvoNVXhz,77,1033380,"big room,dance pop,deep big room,dutch house,edm,electro house,pop,progressive electro house,tropical house",,,,,"((select id from pais where sigla like 'nl'), (select id from musica where nome like 'Another Life'), 91, 41567),"
71,AGA,hk,165,3AM,1956,https://open.spotify.com/track/11G6oP44rmzIPtK70vWCuk,0ZVv0p5Umc0rz7lZF7LUNj,0,8,,,,,,"((select id from pais where sigla like 'hk'), (select id from musica where nome like '3AM'), 165, 1956),"
72,AGA,hk,65,獨一無二,3609,https://open.spotify.com/track/1EiEkNCO1maB0Rl3XQ5f6A,0ZVv0p5Umc0rz7lZF7LUNj,0,8,,,,,,"((select id from pais where sigla like 'hk'), (select id from musica where nome like '獨一無二'), 65, 3609),"
73,Agus Padilla,uy,132,Ni Tu Amiga Ni Tu Amante,1314,https://open.spotify.com/track/1xH5BjOt3hfrWsln1KnHnY,2qmA5QmaGZH3ky4qq25d1m,44,7349,cumbia pop,,,,,"((select id from pais where sigla like 'uy'), (select id from musica where nome like 'Ni Tu Amiga Ni Tu Amante'), 132, 1314),"
74,Agus Padilla,uy,73,Tu Boca,2102,https://open.spotify.com/track/0OMURLwnKB6jkAUcxoS3Fc,2qmA5QmaGZH3ky4qq25d1m,44,7349,cumbia pop,,,,,"((select id from pais where sigla like 'uy'), (select id from musica where nome like 'Tu Boca'), 73, 2102),"
75,Ajda Pekkan,tr,106,Düşman mısın Aşık mı?,7935,https://open.spotify.com/track/2Vqc75AMoWCI1OhJmZpx8d,27XMnTLvCO7t3qGlQyTMkF,55,17137,"turkish folk,turkish jazz,turkish pop,turkish rock",,,,,"((select id from pais where sigla like 'tr'), (select id from musica where nome like 'Düşman mısın Aşık mı?'), 106, 7935),"
76,AJR,be,38,Weak,13291,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,,,,,"((select id from pais where sigla like 'be'), (select id from musica where nome like 'Weak'), 38, 13291),"
77,AJR,nl,34,Weak,89756,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,,,,,"((select id from pais where sigla like 'nl'), (select id from musica where nome like 'Weak'), 34, 89756),"
78,AJR,no,79,Weak,23385,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,6s22t5Y3prQHyaHWUN1R1C,78,174882,pop,,,,,"((select id from pais where sigla like 'no'), (select id from musica where nome like 'Weak'), 79, 23385),"
