,track,url,"insert into musicas (nome, url) values"
242,Te Deseo Lo Mejor,https://open.spotify.com/track/7ETBp75Sc6ZT6XHVN783aq,"('Te Deseo Lo Mejor','https://open.spotify.com/track/7ETBp75Sc6ZT6XHVN783aq'),"
243,Culpable Tu,https://open.spotify.com/track/4eOUnn9bKgUVx6fsbFhuZO,"('Culpable Tu','https://open.spotify.com/track/4eOUnn9bKgUVx6fsbFhuZO'),"
244,Sofia,https://open.spotify.com/track/1VoHrSS3QQ6TbpabLrFiYb,"('Sofia','https://open.spotify.com/track/1VoHrSS3QQ6TbpabLrFiYb'),"
247,Blau,https://open.spotify.com/track/5amWhhuMPipfRYq3eLJNyF,"('Blau','https://open.spotify.com/track/5amWhhuMPipfRYq3eLJNyF'),"
249,Gunerius,https://open.spotify.com/track/33BWiM6OaybYEtYklVeC6T,"('Gunerius','https://open.spotify.com/track/33BWiM6OaybYEtYklVeC6T'),"
250,Scusate per il Disagio,https://open.spotify.com/track/5Sg8ZU4sLqsTOEd8PuGmvv,"('Scusate per il Disagio','https://open.spotify.com/track/5Sg8ZU4sLqsTOEd8PuGmvv'),"
251,Caroline,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g,"('Caroline','https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g'),"
256,Adore,https://open.spotify.com/track/1rPCgtaIF0CyKRgAwhtpbF,"('Adore','https://open.spotify.com/track/1rPCgtaIF0CyKRgAwhtpbF'),"
257,Ahora Lloras Tú,https://open.spotify.com/track/7Fb8u1fxwY1XcRYXJ1tUL2,"('Ahora Lloras Tú','https://open.spotify.com/track/7Fb8u1fxwY1XcRYXJ1tUL2'),"
258,Trem-Bala - Acústico,https://open.spotify.com/track/66O1SfDryBYk9i3RcV5AXq,"('Trem-Bala - Acústico','https://open.spotify.com/track/66O1SfDryBYk9i3RcV5AXq'),"
259,Singular,https://open.spotify.com/track/3eGK0WFi6ISJ9UZA6Za4HX,"('Singular','https://open.spotify.com/track/3eGK0WFi6ISJ9UZA6Za4HX'),"
260,Trevo (Tu),https://open.spotify.com/track/6bgQIw80xWC3MPZX4kVYGw,"('Trevo (Tu)','https://open.spotify.com/track/6bgQIw80xWC3MPZX4kVYGw'),"
261,Agora Eu Quero Ir,https://open.spotify.com/track/2yGnStdGP0V45lPXAJpmDb,"('Agora Eu Quero Ir','https://open.spotify.com/track/2yGnStdGP0V45lPXAJpmDb'),"
262,Fica,https://open.spotify.com/track/0lwrkYbCwtAWTI0OIWEnd6,"('Fica','https://open.spotify.com/track/0lwrkYbCwtAWTI0OIWEnd6'),"
263,Indahnya Dunia,https://open.spotify.com/track/6RECF9SFO28458RLuD1xcH,"('Indahnya Dunia','https://open.spotify.com/track/6RECF9SFO28458RLuD1xcH'),"
264,Rise Up,https://open.spotify.com/track/0tV8pOpiNsKqUys0ilUcXz,"('Rise Up','https://open.spotify.com/track/0tV8pOpiNsKqUys0ilUcXz'),"
266,Sempurna,https://open.spotify.com/track/7yyDYbyS8DVawBsYCEzGCg,"('Sempurna','https://open.spotify.com/track/7yyDYbyS8DVawBsYCEzGCg'),"
267,Hulapalu,https://open.spotify.com/track/7zja6rwquGA6vzLolzKrda,"('Hulapalu','https://open.spotify.com/track/7zja6rwquGA6vzLolzKrda'),"
268,Leef,https://open.spotify.com/track/7jfy5GJjyoAOvDSCw9cir3,"('Leef','https://open.spotify.com/track/7jfy5GJjyoAOvDSCw9cir3'),"
269,KKEB,https://open.spotify.com/track/71NQP11KgFDEJzzrks7wcn,"('KKEB','https://open.spotify.com/track/71NQP11KgFDEJzzrks7wcn'),"
270,Old Man,https://open.spotify.com/track/5ZXmCqIzh9cRaMMfdtHuyZ,"('Old Man','https://open.spotify.com/track/5ZXmCqIzh9cRaMMfdtHuyZ'),"
271,Mejor Que A Ti Me Va - Versión Reggae,https://open.spotify.com/track/68RyOAQNqTeuKeaNIo03Gp,"('Mejor Que A Ti Me Va - Versión Reggae','https://open.spotify.com/track/68RyOAQNqTeuKeaNIo03Gp'),"
272,Fresh Eyes,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,"('Fresh Eyes','https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3'),"
275,Aprovéchame,https://open.spotify.com/track/4pkCB8ZslWoCF0xoKqNRqp,"('Aprovéchame','https://open.spotify.com/track/4pkCB8ZslWoCF0xoKqNRqp'),"
279,Me Mata Tu Amor (feat. Yomil & El Dany),https://open.spotify.com/track/3YQBIHEtp2l2kNSmmBDkeN,"('Me Mata Tu Amor (feat. Yomil & El Dany)','https://open.spotify.com/track/3YQBIHEtp2l2kNSmmBDkeN'),"
280,Till I Met You,https://open.spotify.com/track/0JzwzRDkwZr8s1WRfNgUqA,"('Till I Met You','https://open.spotify.com/track/0JzwzRDkwZr8s1WRfNgUqA'),"
281,Snow,https://open.spotify.com/track/62Rr9VBVpvrrbkNQLsPzb8,"('Snow','https://open.spotify.com/track/62Rr9VBVpvrrbkNQLsPzb8'),"
282,Paradinha,https://open.spotify.com/track/05rJdH2MRLJ3sQoEUO78qs,"('Paradinha','https://open.spotify.com/track/05rJdH2MRLJ3sQoEUO78qs'),"
288,Sim ou não (Participação especial Maluma),https://open.spotify.com/track/4FxumkF81ICxITeqxx4nK9,"('Sim ou não (Participação especial Maluma)','https://open.spotify.com/track/4FxumkF81ICxITeqxx4nK9'),"
292,Dia - Hits Single,https://open.spotify.com/track/2ok6IGh97S4eIRse9K2sjg,"('Dia - Hits Single','https://open.spotify.com/track/2ok6IGh97S4eIRse9K2sjg'),"
293,Where The Love Goes,https://open.spotify.com/track/0Xa7b1Kw7I08dD2k7zZKtV,"('Where The Love Goes','https://open.spotify.com/track/0Xa7b1Kw7I08dD2k7zZKtV'),"
297,Ciao Adios,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4,"('Ciao Adios','https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4'),"
308,Tú Me Obligaste,https://open.spotify.com/track/2abUdU32h3kVukSQiohU6P,"('Tú Me Obligaste','https://open.spotify.com/track/2abUdU32h3kVukSQiohU6P'),"
309,Pyydä multa anteeks kunnolla,https://open.spotify.com/track/5W59v6kiCz8No0TPc1I9UI,"('Pyydä multa anteeks kunnolla','https://open.spotify.com/track/5W59v6kiCz8No0TPc1I9UI'),"
310,Keinutaan (feat. VilleGalle),https://open.spotify.com/track/6ijTh5qyl1328PnCe4IKsT,"('Keinutaan (feat. VilleGalle)','https://open.spotify.com/track/6ijTh5qyl1328PnCe4IKsT'),"
311,Peto on irti,https://open.spotify.com/track/3UVRi8xiuMb0MtFIbemaAn,"('Peto on irti','https://open.spotify.com/track/3UVRi8xiuMb0MtFIbemaAn'),"
312,Rahan takii,https://open.spotify.com/track/4UDDfd77rlXmNjgW1NKhWq,"('Rahan takii','https://open.spotify.com/track/4UDDfd77rlXmNjgW1NKhWq'),"
313,Hanuri (feat. Boyat),https://open.spotify.com/track/7CI9dousrqQ0uf4DSbaaEF,"('Hanuri (feat. Boyat)','https://open.spotify.com/track/7CI9dousrqQ0uf4DSbaaEF'),"
314,Suasana Hari Raya,https://open.spotify.com/track/1IMsCuONQDaYYrgt4ehMbI,"('Suasana Hari Raya','https://open.spotify.com/track/1IMsCuONQDaYYrgt4ehMbI'),"
315,Sola (),https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65,"('Sola ()','https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65'),"
316,47,https://open.spotify.com/track/6IoKSUyNOOheJRjiuGb1ew,"('47','https://open.spotify.com/track/6IoKSUyNOOheJRjiuGb1ew'),"
317,La Última Vez,https://open.spotify.com/track/4J1e3hbf0e5YUZjkxyJWD3,"('La Última Vez','https://open.spotify.com/track/4J1e3hbf0e5YUZjkxyJWD3'),"
321,Ayer 2,https://open.spotify.com/track/5ZF3889W92eTBOROe0lPNN,"('Ayer 2','https://open.spotify.com/track/5ZF3889W92eTBOROe0lPNN'),"
361,FIVE,https://open.spotify.com/track/2x1d6tYlsTn9fydVzxXLY9,"('FIVE','https://open.spotify.com/track/2x1d6tYlsTn9fydVzxXLY9'),"
362,Warkah Untukku,https://open.spotify.com/track/2wirimXPGpXHLX5DyoWcAb,"('Warkah Untukku','https://open.spotify.com/track/2wirimXPGpXHLX5DyoWcAb'),"
363,Everything Now,https://open.spotify.com/track/07Ugv4TA7PvQfoqetnmLrS,"('Everything Now','https://open.spotify.com/track/07Ugv4TA7PvQfoqetnmLrS'),"
364,Me Acostumbre (feat. Bad Bunny),https://open.spotify.com/track/2FIm6YsSGL5acOqSuJDh5s,"('Me Acostumbre (feat. Bad Bunny)','https://open.spotify.com/track/2FIm6YsSGL5acOqSuJDh5s'),"
369,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),https://open.spotify.com/track/6NSMQFKgjpQb0KkjMDYIK0,"('Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)','https://open.spotify.com/track/6NSMQFKgjpQb0KkjMDYIK0'),"
372,Po encima (feat. Bryant Myers),https://open.spotify.com/track/7sWdGtYvzlzuQRAoZ7fGeO,"('Po encima (feat. Bryant Myers)','https://open.spotify.com/track/7sWdGtYvzlzuQRAoZ7fGeO'),"
378,Me Llamas,https://open.spotify.com/track/3LgtCt7CVhMvNSMGoQD9i1,"('Me Llamas','https://open.spotify.com/track/3LgtCt7CVhMvNSMGoQD9i1'),"
395,Do I Wanna Know?,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt,"('Do I Wanna Know?','https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt'),"
396,Fluorescent Adolescent,https://open.spotify.com/track/7e8utCy2JlSB8dRHKi49xM,"('Fluorescent Adolescent','https://open.spotify.com/track/7e8utCy2JlSB8dRHKi49xM'),"
400,One Last Time,https://open.spotify.com/track/7bJwvubZZaoGE1AGEfu8Fi,"('One Last Time','https://open.spotify.com/track/7bJwvubZZaoGE1AGEfu8Fi'),"
401,Into You,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,"('Into You','https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0'),"
402,美女と野獣,https://open.spotify.com/track/1KT0xdIjm7t053xByACrrg,"('美女と野獣','https://open.spotify.com/track/1KT0xdIjm7t053xByACrrg'),"
403,Side To Side,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,"('Side To Side','https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz'),"
420,Problem,https://open.spotify.com/track/7fYbFYt7X4FZvuJJC90EX0,"('Problem','https://open.spotify.com/track/7fYbFYt7X4FZvuJJC90EX0'),"
440,Break Free,https://open.spotify.com/track/1X2Zd5wKGbY1oKzb8dzJRy,"('Break Free','https://open.spotify.com/track/1X2Zd5wKGbY1oKzb8dzJRy'),"
441,Almost Is Never Enough,https://open.spotify.com/track/442j8VxaB60dWf9cBFuX5w,"('Almost Is Never Enough','https://open.spotify.com/track/442j8VxaB60dWf9cBFuX5w'),"
442,Te Metiste,https://open.spotify.com/track/0nNTCEOzFlBTlDCx5IfLWP,"('Te Metiste','https://open.spotify.com/track/0nNTCEOzFlBTlDCx5IfLWP'),"
